"","fecha_de_libertad","ABSUELTO","COMPURGADO","CONDENA CONDICIONAL/SUSPENSIÓN CONDICIONADA DE PENA","EXTERNADO","LIBERTAD PREPARATORIA","OTROS","REMISION PARCIAL DE LA PENA","TRATAMIENTO EN LIBERTAD/SEMILIBERTAD"
"149","2019-04-28",0,4,0,8,0,0,0,0
"150","2019-04-29",1,5,1,4,0,0,0,0
"151","2019-04-30",2,12,10,22,2,7,1,6
"152","2019-05-01",8,21,18,14,5,10,1,11
"153","2019-05-02",2,23,14,9,4,5,7,6
"154","2019-05-03",8,20,20,4,3,5,2,11
"155","2019-05-04",5,24,16,20,3,17,5,8
"156","2019-05-05",4,10,12,34,1,8,5,3
"157","2019-05-06",3,17,11,29,1,7,3,1
"158","2019-05-07",3,8,9,28,0,2,1,4
"159","2019-05-08",0,8,7,18,0,5,0,5
"160","2019-05-09",3,4,8,14,0,4,3,2
"161","2019-05-10",2,2,5,9,0,1,1,3
"162","2019-05-11",2,12,27,16,3,17,1,6
"163","2019-05-12",3,16,10,33,0,4,3,5
"164","2019-05-13",1,10,8,22,0,4,0,2
"165","2019-05-14",3,3,15,20,0,5,1,7
"166","2019-05-15",3,3,15,9,1,5,1,6
"167","2019-05-16",0,9,5,17,0,6,2,6
"168","2019-05-17",1,11,4,22,2,15,4,9
"169","2019-05-18",6,23,11,17,2,19,4,10
"170","2019-05-19",3,19,25,27,0,8,2,4
"171","2019-05-20",0,2,0,23,0,0,0,0
"172","2019-05-21",5,15,25,9,1,7,2,8
"173","2019-05-22",2,14,4,15,2,7,4,2
"174","2019-05-23",1,4,19,9,2,2,2,2
"175","2019-05-24",2,3,8,23,0,3,0,12
"176","2019-05-25",8,30,29,14,0,42,4,8
"177","2019-05-26",1,2,0,45,0,0,0,0
"178","2019-05-27",0,8,0,27,0,0,0,0
"179","2019-05-28",5,12,11,25,1,4,0,7
"180","2019-05-29",3,5,13,13,3,7,1,9
"181","2019-05-30",0,8,13,22,2,4,1,4
"182","2019-05-31",2,9,17,21,0,7,2,1
"183","2019-06-01",1,1,3,15,0,0,1,5
"184","2019-06-02",0,0,0,7,0,1,1,0
"185","2019-06-03",0,3,0,13,0,1,0,0
"186","2019-06-04",2,21,29,16,3,8,2,8
"187","2019-06-05",1,3,14,16,0,3,3,9
"188","2019-06-06",2,7,14,10,2,16,8,5
"189","2019-06-07",3,7,13,31,2,8,1,3
"190","2019-06-08",2,12,10,15,0,2,0,4
"191","2019-06-09",1,11,2,10,0,1,0,0
"192","2019-06-10",1,13,4,7,0,2,1,4
"193","2019-06-11",0,14,14,18,4,4,0,11
"194","2019-06-12",3,10,15,18,2,3,4,17
"195","2019-06-13",4,8,11,13,1,5,0,8
"196","2019-06-14",0,8,21,21,0,2,5,7
"197","2019-06-15",0,3,1,12,0,18,1,0
"198","2019-06-16",7,16,14,46,3,6,3,1
"199","2019-06-17",0,4,0,34,0,0,0,0
"200","2019-06-18",10,17,25,15,4,5,6,4
